_id,BALCONY_GUARDS,CONFIRMED_STOREYS,CONFIRMED_UNITS,ELEVATORS,ENTRANCE_DOORS_WINDOWS,ENTRANCE_LOBBY,EVALUATION_COMPLETED_ON,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,GARBAGE_BIN_STORAGE_AREA,GARBAGE_CHUTE_ROOMS,GRAFFITI,INTERIOR_LIGHTING_LEVELS,INTERIOR_WALL_CEILING_FLOOR,INTERNAL_GUARDS_HANDRAILS,LAUNDRY_ROOMS,NO_OF_AREAS_EVALUATED,OTHER_FACILITIES,PARKING_AREA,PROPERTY_TYPE,RESULTS_OF_SCORE,RSN,SCORE,SECURITY,SITE_ADDRESS,STAIRWELLS,STORAGE_AREAS_LOCKERS,WARD,WATER_PEN_EXT_BLDG_ELEMENTS,YEAR_BUILT,YEAR_REGISTERED
6934,4,6,55,5,3,3,11/28/2019,4,3,3,4,3,5,3,3,3,4,19,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4153894,71,4,345  LONSDALE RD ,3,4,12,3,1970,2017
6935,,4,25,,3,3,03/18/2019,2,4,3,4,,3,3,3,2,2,15,,3,PRIVATE,Evaluation needs to be conducted in 1 year,4153898,61,4,464  SPADINA RD ,3,,12,4,1962,2017
6936,3,6,36,5,3,3,03/18/2019,3,3,3,4,,3,3,3,2,3,18,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4153900,67,5,340  LONSDALE RD ,3,4,12,4,1957,2017
6937,,4,19,,4,4,11/28/2019,4,3,4,4,,5,4,3,4,4,15,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4153902,79,4,312  LONSDALE RD ,4,,12,4,1927,2017
6938,,4,32,,3,4,03/14/2019,3,4,4,3,,5,3,3,3,3,16,2,3,PRIVATE,Evaluation needs to be conducted in 2 years,4153904,68,5,320  LONSDALE RD ,3,,12,3,1923,2017
6939,3,3,32,3,3,3,03/14/2019,4,4,4,3,4,5,3,3,3,3,19,,2,PRIVATE,Evaluation needs to be conducted in 2 years,4153905,67,4,30  THELMA AVE ,4,3,12,3,1962,2017
6940,4,4,42,,4,4,11/18/2019,4,4,4,3,,5,4,3,4,4,17,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154384,76,4,1537  WILSON AVE ,3,4,6,4,1960,2017
6941,4,4,21,,4,3,11/18/2019,4,4,4,4,,5,4,4,3,3,17,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154386,76,5,1525  WILSON AVE ,3,4,6,4,1958,2017
6942,4,4,55,4,4,4,11/18/2019,4,3,3,4,,5,4,4,3,4,18,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154387,78,5,1515  WILSON AVE ,3,4,6,4,1958,2017
6943,,3,11,,2,2,11/18/2019,2,3,3,3,,5,2,2,3,2,16,,3,PRIVATE,Evaluation needs to be conducted in 1 year,4154415,54,3,2818  KEELE ST ,2,3,6,3,1972,2017
6944,4,4,61,4,3,4,11/05/2019,3,4,3,4,4,5,5,3,5,3,19,,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154781,81,5,1065  DON MILLS RD ,4,5,16,5,1959,2017
6945,,4,18,,4,3,01/31/2019,4,4,3,4,,4,3,4,3,4,15,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4155312,72,4,313  THE KINGSWAY  ,2,,2,4,1970,2017
6946,,4,14,,4,3,01/15/2019,3,3,3,3,,3,3,4,3,2,15,,4,PRIVATE,Evaluation needs to be conducted in 1 year,4155324,64,4,2  BEXHILL CRT ,3,,2,3,1959,2017
6947,,4,14,,4,3,01/15/2019,2,4,4,3,,5,2,3,3,3,16,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4155325,66,4,3  BEXHILL CRT ,3,4,2,2,1959,2017
6948,4,17,73,4,4,4,12/10/2019,4,4,4,4,3,5,4,4,3,4,19,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155327,77,4,289  THE KINGSWAY  ,4,3,2,4,1966,2017
6949,,4,29,,2,3,12/06/2017,3,3,3,3,,4,3,3,3,3,16,,3,PRIVATE,Evaluation needs to be conducted in 1 year,4155328,60,3,291  THE KINGSWAY  ,3,3,2,3,1955,2018
6950,,4,36,,,,03/25/2019,,,,,,,,,,,0,,,PRIVATE,,4155332,,,1  ST STEVENS CRT ,,,2,,1955,2018
6951,4,15,141,4,4,5,10/29/2019,4,5,5,5,4,4,4,4,5,4,20,4,4,PRIVATE,Evaluation needs to be conducted in 3 years,4155342,86,5,25  RICHVIEW RD ,4,3,2,5,1973,2017
6952,4,4,138,4,5,4,11/21/2019,4,4,4,4,4,5,4,4,5,4,19,4,4,PRIVATE,Evaluation needs to be conducted in 3 years,4155734,84,5,800  LANSDOWNE AVE ,4,,9,4,1992,2017
6953,,3,16,,4,4,03/01/2019,4,3,4,4,,5,4,4,3,3,15,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4156305,76,4,3218  ST CLAIR AVE E,3,,20,4,1952,2017
6954,,3,16,,4,4,12/05/2018,3,4,4,4,,5,3,4,3,2,15,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4156306,72,4,3222  ST CLAIR AVE E,3,,20,3,1952,2017
6955,5,21,208,5,5,4,11/27/2019,5,5,5,5,4,5,5,4,4,4,20,4,4,PRIVATE,Evaluation needs to be conducted in 3 years,4156319,92,5,182-250  BRENYON WAY ,5,5,25,4,1979,2017
6956,5,12,234,5,5,5,11/06/2019,4,5,4,4,5,5,5,5,5,5,20,5,4,PRIVATE,Evaluation needs to be conducted in 3 years,4156323,95,5,4001  BAYVIEW AVE ,5,4,17,5,1971,2017
6957,3,4,93,4,4,4,11/19/2019,4,4,4,3,4,5,4,4,4,4,19,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4156325,80,5,3328  WESTON RD ,4,4,7,4,1960,2017
6958,4,3,11,,3,3,11/04/2019,3,3,3,5,,5,5,4,4,4,17,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4156613,80,5,8  WINGREEN CRT ,4,4,16,5,1965,2017
6959,5,22,332,4,5,5,11/18/2019,5,5,5,3,4,5,5,5,5,,19,5,3,PRIVATE,Evaluation needs to be conducted in 3 years,4156614,94,5,105  HARRISON GARDEN BLVD ,5,5,18,5,2010,2017
6960,4,6,60,4,4,4,11/07/2019,4,4,4,4,4,5,4,4,4,4,19,,4,PRIVATE,Evaluation needs to be conducted in 3 years,4156621,81,5,4900  BATHURST ST ,4,3,6,4,1962,2017
6961,5,4,56,5,4,5,11/06/2019,5,4,4,5,4,5,4,5,4,5,19,5,4,PRIVATE,Evaluation needs to be conducted in 3 years,4156627,92,5,30  ST DENNIS DR ,4,,16,5,1964,2017
6962,4,11,139,4,4,4,12/05/2019,4,4,4,4,4,3,4,4,4,3,19,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4156631,77,4,75  HALSEY AVE ,4,4,19,4,1970,2017
6963,3,9,115,4,3,4,12/20/2017,4,3,4,3,3,5,3,4,4,3,20,4,4,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4152927,72,4,1700  BLOOR ST W,4,3,4,3,1982,2017
6964,,3,21,,3,3,03/26/2019,3,3,3,3,,5,4,3,3,5,14,,,PRIVATE,Evaluation needs to be conducted in 2 years,4152928,67,3,1778  BLOOR ST W,3,,4,3,1924,2017
6965,,3,19,,3,4,02/11/2019,4,4,4,3,,5,4,4,3,4,16,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4152959,76,4,57  SPENCER AVE ,4,4,4,4,1939,2017
6966,4,5,69,,5,3,03/28/2019,4,3,5,4,,5,3,3,3,3,16,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4153421,75,5,160  HURON ST ,2,,11,4,1805,2017
6967,4,4,24,,4,4,01/17/2019,3,4,4,4,,5,4,4,4,4,15,,,PRIVATE,Evaluation needs to be conducted in 2 years,4153437,80,4,181-183  GERRARD ST E,4,,13,4,1902,
6968,5,3,10,,5,5,12/03/2019,3,4,5,5,,5,5,5,4,5,17,,5,PRIVATE,Evaluation needs to be conducted in 3 years,4153440,94,5,262  SHERBOURNE ST ,5,5,13,4,1838,2017
6969,5,18,235,5,5,4,11/28/2019,4,5,4,5,4,5,3,4,4,5,20,5,3,PRIVATE,Evaluation needs to be conducted in 3 years,4153931,87,5,23  LASCELLES BLVD ,3,5,12,4,1957,2017
6970,,5,34,3,4,4,03/14/2019,4,3,4,3,,5,4,4,4,3,17,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4153935,75,5,120  ORIOLE PKWY ,4,3,12,4,1960,2017
6971,4,3,32,5,4,4,03/13/2019,4,3,3,3,,5,5,5,4,3,18,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4153939,79,5,50  OXTON AVE ,4,3,12,4,1955,2017
6972,5,6,41,4,4,4,03/13/2019,4,4,4,4,,5,5,3,4,4,18,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4153942,79,4,45  GARDINER RD ,3,3,12,4,1954,2017
6973,3,3,31,,5,4,11/27/2019,5,4,4,4,,5,4,4,3,4,17,,5,PRIVATE,Evaluation needs to be conducted in 3 years,4153945,82,4,725  EGLINTON AVE W,4,3,12,5,1950,2017
6974,,5,65,5,4,4,11/21/2019,4,4,4,3,,5,4,3,2,3,16,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4153949,75,5,4  LATIMER AVE ,4,,8,3,1953,2017
6975,4,3,11,3,4,4,03/11/2019,4,4,4,4,,3,4,3,4,4,17,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4153950,76,4,570  EGLINTON AVE W,4,,8,4,1960,2017
6976,3,6,60,3,3,3,11/21/2019,3,3,3,3,,5,3,3,2,3,17,,2,PRIVATE,Evaluation needs to be conducted in 1 year,4153952,62,5,600  EGLINTON AVE W,3,,8,3,1968,2017
6977,5,3,12,,5,5,11/18/2019,4,4,4,4,,3,4,4,4,5,16,,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154426,85,5,2850  KEELE ST ,4,,6,4,1963,2017
6978,,3,11,,5,4,11/18/2019,4,5,5,4,,5,4,5,5,5,15,,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154430,92,5,2255  JANE ST ,4,,6,5,1965,2017
6979,,4,12,,4,3,12/12/2019,3,4,3,4,,5,3,3,4,3,16,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154437,70,3,2994  KEELE ST ,4,3,6,4,1954,
6980,5,5,99,3,4,4,11/18/2019,2,4,3,3,4,5,4,4,4,4,18,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154448,77,5,18  SEELEY DR ,4,,6,3,1959,2017
6981,,4,87,2,3,3,11/07/2019,3,2,3,3,,4,2,2,3,2,16,,2,PRIVATE,Evaluation needs to be conducted in 1 year,4154450,53,3,2  DORADO CRT ,2,,6,3,1958,2019
6982,3,4,48,4,4,4,12/13/2018,3,4,4,5,4,5,3,4,4,4,18,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154459,79,5,41-51  BROOKWELL DR ,4,,6,3,1966,2017
6983,5,17,216,5,4,5,11/18/2019,4,3,4,3,3,5,4,3,4,4,20,5,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154813,80,4,110  PARKWAY FOREST DR ,4,4,17,4,1967,2017
6984,4,6,228,5,5,5,11/18/2019,4,4,4,4,3,4,5,4,5,4,19,5,2,PRIVATE,Evaluation needs to be conducted in 3 years,4154817,82,5,3000  VICTORIA PARK AVE ,2,,17,4,1972,2017
6985,5,12,137,5,5,5,11/07/2019,4,4,4,5,5,4,5,5,5,5,20,5,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154818,94,5,12  DEERFORD RD ,5,5,17,4,1969,2017
6986,5,16,176,4,5,5,01/10/2019,4,4,4,5,4,5,5,4,5,4,20,4,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154832,90,5,40  GODSTONE RD ,5,4,17,5,1965,2017
6987,5,15,174,4,4,4,01/10/2019,4,4,4,4,2,4,5,4,3,4,20,3,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154834,78,5,20  GODSTONE RD ,3,3,17,5,1968,2017
6988,5,19,128,5,5,5,11/07/2019,5,4,5,4,3,5,5,5,5,5,19,,3,PRIVATE,Evaluation needs to be conducted in 3 years,4154839,91,5,640  SHEPPARD AVE E,3,4,17,5,1970,2017
6989,5,14,129,5,4,4,02/07/2019,5,5,5,4,4,5,5,5,5,5,19,5,5,PRIVATE,Evaluation needs to be conducted in 3 years,4155349,95,5,500  SCARLETT RD ,5,,2,4,1969,2017
6990,5,10,111,4,5,4,10/28/2019,3,4,3,3,,5,2,4,5,4,18,4,4,PRIVATE,Evaluation needs to be conducted in 2 years,4155357,78,4,38  DIXINGTON CRES ,3,,2,4,1963,2018
6991,3,6,55,4,5,3,10/29/2019,4,4,3,4,4,5,4,4,4,4,19,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155360,79,5,40  DIXINGTON CRES ,4,4,2,4,1964,2017
6992,4,10,95,3,5,5,01/04/2019,3,4,3,3,3,5,4,2,3,3,18,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155364,71,5,345  DIXON RD ,2,,2,4,1969,2017
6993,4,16,225,4,5,4,01/02/2019,3,4,3,2,3,3,4,3,5,3,19,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4155367,72,5,301  DIXON RD ,2,4,2,3,1964,2017
6994,,6,32,4,5,5,12/04/2019,5,5,5,4,4,5,4,4,4,4,18,,5,SOCIAL HOUSING,Evaluation needs to be conducted in 3 years,4155750,91,5,243  COSBURN AVE ,4,5,14,5,2004,2017
6995,4,20,161,4,4,4,03/06/2019,4,4,4,3,,5,4,4,4,4,19,5,4,PRIVATE,Evaluation needs to be conducted in 3 years,4155751,81,4,1465  LAWRENCE AVE W,4,4,5,4,1969,2017
6996,,4,16,,4,4,12/14/2018,4,4,4,4,,5,4,4,4,4,16,,5,PRIVATE,Evaluation needs to be conducted in 2 years,4156649,80,3,2846  BLOOR ST W,4,3,3,4,1955,2017
6997,,3,19,,3,3,02/11/2019,3,3,4,3,,5,3,3,3,4,16,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4152960,68,4,59  SPENCER AVE ,3,4,4,3,1939,2017
6998,4,9,80,4,4,4,03/13/2019,4,4,4,4,4,5,4,4,4,4,19,,3,PRIVATE,Evaluation needs to be conducted in 3 years,4152985,81,5,145  JAMESON AVE ,4,4,4,4,1960,2017
6999,,5,20,,4,3,03/11/2019,4,4,3,4,,5,2,3,4,3,15,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4152986,69,3,140  SPRINGHURST AVE ,3,,4,4,1959,2019
7000,,4,23,,3,2,01/21/2019,3,4,4,3,,4,4,4,4,3,15,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4153442,67,3,256  SHERBOURNE ST ,3,,13,3,1955,2019
7001,2,4,17,,2,2,11/26/2019,2,2,1,2,,5,2,2,3,2,15,,,PRIVATE,Building Audit,4153463,45,4,378  MARKHAM ST ,1,,11,2,1900,2019
7002,3,3,10,,3,3,03/15/2019,3,3,3,3,,5,3,4,4,,15,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4153464,68,5,469  PALMERSTON BLVD ,3,,11,3,1932,
7003,3,5,62,3,3,4,11/30/2017,3,4,4,3,3,4,4,3,3,3,18,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4153966,67,4,2100  BATHURST ST ,3,,8,3,1953,2017
7004,,3,29,,4,4,02/22/2019,4,4,4,3,,5,4,4,4,4,15,,4,PRIVATE,Evaluation needs to be conducted in 3 years,4153992,81,5,48  MAXWELL AVE ,4,,12,4,1928,2017
7005,3,4,60,2,3,2,11/18/2019,3,3,2,3,2,5,3,2,4,3,18,,2,PRIVATE,Evaluation needs to be conducted in 1 year,4154468,57,5,170  SENTINEL RD ,1,,7,3,1967,2017
7006,3,9,177,4,4,4,12/17/2018,4,3,4,3,2,3,3,3,4,3,18,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154472,66,3,20  BROADOAKS DR ,2,,7,3,1969,2017
7007,3,22,370,3,3,4,11/19/2019,3,3,3,4,4,4,4,3,3,3,19,3,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154476,68,5,1  FOUNTAINHEAD RD ,3,,7,3,1968,2017
7008,5,14,117,4,5,4,11/20/2019,4,4,4,5,,5,5,4,3,3,18,,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154481,83,4,2900  BATHURST ST ,4,4,8,4,1964,2017
7009,4,4,25,3,4,3,03/14/2019,3,4,4,4,,5,4,4,4,3,18,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154482,74,3,125  SHELBORNE AVE ,3,4,8,4,1950,2018
7010,4,3,10,,4,3,02/06/2019,4,3,4,3,,5,4,4,4,3,16,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154487,75,5,777  LAWRENCE AVE W,3,,8,4,1961,2018
7011,4,4,65,4,3,4,02/21/2019,4,3,4,3,4,5,4,3,4,4,19,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154866,75,4,5  BIGGIN CRT ,4,3,16,4,1955,2017
7012,3,4,62,5,4,4,02/20/2019,2,4,4,4,5,5,5,4,4,5,19,,3,PRIVATE,Evaluation needs to be conducted in 3 years,4154875,83,5,1  ECCLESTON DR ,5,5,16,3,1960,2017
7013,4,4,60,5,4,4,02/20/2019,3,4,4,4,5,5,5,4,4,5,19,,3,PRIVATE,Evaluation needs to be conducted in 3 years,4154876,85,5,26  SLOANE AVE ,5,5,16,3,1960,2017
7014,3,16,122,4,4,4,10/29/2019,3,4,3,3,3,5,5,4,4,4,19,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4155400,79,5,580  THE EAST MALL  ,5,4,2,4,1972,2018
7015,,3,14,,4,4,01/17/2019,4,3,3,3,,5,3,4,3,3,15,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4156379,69,3,1449  KINGSTON RD ,3,,20,3,1940,2017
7016,,3,48,,2,3,02/05/2019,3,3,3,3,,5,3,3,2,3,14,,,PRIVATE,Evaluation needs to be conducted in 1 year,4153000,57,3,1465  KING ST W,2,,4,2,1917,2017
7017,,3,18,,3,4,01/15/2019,3,4,4,4,,4,3,3,3,3,15,,,PRIVATE,Evaluation needs to be conducted in 2 years,4153002,68,3,1570  KING ST W,3,3,4,4,1910,
7018,,3,42,,4,4,01/22/2019,4,4,3,4,,4,3,4,3,3,15,,,PRIVATE,Evaluation needs to be conducted in 2 years,4153003,73,4,1623  QUEEN ST W,4,3,4,4,1922,2017
7019,,3,37,,4,4,01/10/2019,3,4,4,4,,5,4,4,3,3,15,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4153487,76,4,33  MAITLAND ST ,3,,13,4,1923,2017
7020,,4,47,,4,3,01/11/2019,3,4,4,4,,5,4,4,4,4,14,,,PRIVATE,Evaluation needs to be conducted in 2 years,4153493,79,4,56  MAITLAND ST ,4,,13,4,1928,2017
7021,,4,30,4,5,5,12/03/2019,4,4,4,5,4,4,5,4,4,5,16,,,PRIVATE,Evaluation needs to be conducted in 3 years,4153496,86,4,77  WELLESLEY ST E,4,,13,4,1926,2017
7022,3,11,212,5,4,4,02/05/2019,3,4,3,4,3,3,4,4,4,4,18,,3,TCHC,Evaluation needs to be conducted in 2 years,4153499,74,4,460  JARVIS ST ,4,,13,4,1991,2017
7023,4,3,16,,4,4,12/19/2018,3,4,4,4,,5,3,4,4,4,16,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4153507,78,4,510  JARVIS ST ,4,,13,3,1888,2017
7024,5,8,71,4,5,5,12/03/2019,4,4,4,4,4,5,4,4,4,5,18,,2,PRIVATE,Evaluation needs to be conducted in 3 years,4153509,82,4,88  WELLESLEY ST E,3,,13,4,1960,2017
7025,3,3,10,,4,3,03/11/2019,3,3,3,4,,5,4,3,3,3,16,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4153997,70,5,875  AVENUE RD ,3,,12,4,1950,2018
7026,4,33,319,5,4,5,03/15/2019,3,4,5,4,4,5,5,5,4,5,20,4,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154010,87,5,500  DUPLEX AVE ,4,4,8,4,1974,2017
7027,,3,17,,4,3,03/12/2019,4,3,4,4,,5,4,3,3,3,16,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154015,71,4,80  CASTLEFIELD AVE ,3,3,8,4,1955,2017
7028,,5,46,4,4,4,11/20/2019,4,4,4,3,4,5,4,4,4,4,18,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154023,80,5,2914  YONGE ST ,4,4,8,4,1929,2017
7029,4,3,11,,4,4,01/30/2019,4,3,3,4,,5,3,5,5,4,16,,3,PRIVATE,Evaluation needs to be conducted in 3 years,4154511,81,5,34  WASDALE CRES ,5,,8,4,1965,2017
7030,3,3,12,,3,3,02/08/2019,4,3,3,3,,5,3,3,3,3,16,,3,PRIVATE,Evaluation needs to be conducted in 1 year,4154514,65,4,50  NEPTUNE DR ,3,,8,3,1960,2017
